4	8
69.49	88.92	22.36	38.11	
11.49	12.20	9.58	12.05	
88.76	72.37	125.89	71.65	
13.13	66.28	12.71	6.66	57.29	60.05	13.19	69.60	
1.27	2.96	1.02	1.26	0.85	2.56	4.53	5.13	
7.08	3.41	5.01	5.19	6.55	6.60	3.45	3.30	
1.55	5.44	3.06	2.90	2.21	4.22	7.01	6.61	
2.98	6.86	4.38	4.14	3.66	5.60	8.45	7.50	
0.64	1.48	0.51	0.63	0.43	1.28	2.27	2.56	
3.54	1.71	2.51	2.59	3.28	3.30	1.73	1.65	
0.77	2.72	1.53	1.45	1.11	2.11	3.51	3.30	
1.49	3.43	2.19	2.07	1.83	2.80	4.23	3.75	
11.88	28.07	6.46	8.50	8.29	14.17	31.06	45.96	
43.47	25.11	44.25	51.30	60.92	45.25	18.22	22.37	
13.41	35.51	19.14	27.00	21.55	35.57	62.99	49.75	
21.95	43.31	29.57	21.48	36.34	44.38	79.84	42.05	

