6	12
11.67	10.26	13.14	13.43	10.15	15.74	
143.19	62.76	3.39	156.38	46.54	53.58	
76.97	101.06	64.00	61.73	117.31	41.05	
31.21	56.44	61.39	65.04	53.12	23.88	11.19	14.06	25.21	61.47	15.14	1.96	
3.81	9.50	5.54	6.18	8.04	9.22	3.89	7.96	8.58	2.85	5.20	6.59	
5.70	11.69	7.07	4.24	12.23	5.84	5.63	1.74	11.49	7.93	5.95	11.66	
4.98	4.79	1.27	3.16	5.28	2.85	4.73	5.40	4.49	3.96	2.12	4.98	
9.78	4.15	6.07	7.45	6.35	4.17	9.53	8.89	4.90	8.67	6.95	7.19	
6.96	5.68	4.01	4.33	7.09	0.81	6.72	5.52	5.88	6.65	4.35	7.25	
4.81	4.58	1.63	4.42	3.91	5.30	4.61	6.92	3.82	2.50	2.72	3.03	
1.90	4.75	2.77	3.09	4.02	4.61	1.95	3.98	4.29	1.42	2.60	3.30	
2.85	5.84	3.54	2.12	6.12	2.92	2.82	0.87	5.74	3.96	2.98	5.83	
2.49	2.39	0.64	1.58	2.64	1.43	2.37	2.70	2.25	1.98	1.06	2.49	
4.89	2.08	3.03	3.73	3.18	2.09	4.77	4.44	2.45	4.34	3.47	3.59	
3.48	2.84	2.00	2.17	3.55	0.41	3.36	2.76	2.94	3.32	2.17	3.63	
2.40	2.29	0.81	2.21	1.95	2.65	2.31	3.46	1.91	1.25	1.36	1.51	
33.06	61.11	54.71	50.76	64.77	76.64	25.03	48.84	50.65	17.42	37.79	50.82	
46.78	101.52	69.13	33.56	97.02	35.34	48.92	10.26	91.70	62.78	44.86	87.06	
43.27	37.31	6.45	17.92	31.75	18.67	29.89	50.09	29.76	22.79	18.68	44.06	
61.99	33.59	54.18	66.60	57.14	35.90	67.86	54.66	27.16	59.20	57.80	69.80	
51.54	33.57	35.01	23.54	47.10	5.05	64.20	47.43	34.61	37.19	32.46	61.03	
46.10	31.39	15.26	38.56	33.77	37.24	27.60	40.89	28.14	15.26	26.69	16.88	
16.53	30.55	27.36	25.38	32.38	38.32	12.52	24.42	25.32	8.71	18.89	25.41	
23.39	50.76	34.56	16.78	48.51	17.67	24.46	5.13	45.85	31.39	22.43	43.53	
21.64	18.66	3.23	8.96	15.88	9.34	14.95	25.05	14.88	11.39	9.34	22.03	
31.00	16.80	27.09	33.30	28.57	17.95	33.93	27.33	13.58	29.60	28.90	34.90	
25.77	16.79	17.50	11.77	23.55	2.52	32.10	23.71	17.30	18.59	16.23	30.52	
23.05	15.70	7.63	19.28	16.89	18.62	13.80	20.45	14.07	7.63	13.35	8.44	

