4	8
3.42	126.37	122.52	94.17	
8.26	17.82	18.42	13.06	
159.98	37.69	30.74	58.93	
32.95	37.21	29.98	25.40	33.08	18.06	4.46	39.89	
2.08	4.85	3.28	5.28	3.14	1.94	1.97	4.05	
6.38	6.70	3.94	5.23	1.49	5.02	5.97	8.51	
5.07	8.66	6.22	8.10	3.92	3.15	6.24	7.70	
5.20	3.27	5.15	5.65	7.25	6.70	3.21	3.58	
1.04	2.43	1.64	2.64	1.57	0.97	0.99	2.02	
3.19	3.35	1.97	2.61	0.74	2.51	2.99	4.25	
2.53	4.33	3.11	4.05	1.96	1.58	3.12	3.85	
2.60	1.63	2.57	2.83	3.63	3.35	1.60	1.79	
18.21	35.62	20.53	35.97	25.95	16.03	12.11	39.05	
41.71	62.20	29.38	45.84	13.14	35.56	48.54	77.15	
45.17	77.85	42.00	54.57	27.37	22.67	38.14	48.02	
40.23	26.13	37.64	55.94	37.25	56.57	19.27	18.04	

