4	8
14.39	92.19	62.07	26.39	
21.51	10.71	21.61	17.91	
25.87	93.22	21.52	36.43	
20.74	19.01	12.12	6.73	10.00	14.09	27.65	37.18	
3.76	4.12	5.82	3.40	3.96	8.23	2.71	2.44	
5.49	1.32	6.52	1.42	1.55	6.02	0.54	3.09	
8.19	4.59	7.07	4.70	4.28	0.26	6.31	8.89	
10.15	6.22	8.90	6.54	6.05	1.89	7.99	10.56	
1.88	2.06	2.91	1.70	1.98	4.11	1.35	1.22	
2.74	0.66	3.26	0.71	0.78	3.01	0.27	1.55	
4.10	2.30	3.54	2.35	2.14	0.13	3.16	4.45	
5.07	3.11	4.45	3.27	3.02	0.95	3.99	5.28	
32.60	20.89	29.80	25.00	29.81	59.27	18.28	15.14	
47.33	9.38	61.61	11.43	11.67	33.67	4.99	17.96	
73.83	31.48	56.62	27.39	23.66	1.55	59.12	72.13	
86.99	58.23	62.25	59.91	49.29	10.63	74.50	59.85	

