4	8
167.74	171.31	166.60	89.92	
12.15	17.70	10.05	10.88	
68.49	32.85	101.89	93.27	
45.11	8.22	37.25	47.77	44.16	30.54	26.24	7.79	
1.24	2.58	5.35	4.77	4.78	0.79	2.22	2.45	
3.14	2.23	6.16	8.38	8.49	4.72	2.83	5.79	
6.98	8.32	8.58	3.23	2.82	5.26	7.74	4.89	
5.91	4.04	8.95	11.14	11.21	7.28	5.73	8.59	
0.62	1.29	2.68	2.38	2.39	0.40	1.11	1.23	
1.57	1.11	3.08	4.19	4.25	2.36	1.41	2.90	
3.49	4.16	4.29	1.62	1.41	2.63	3.87	2.44	
2.96	2.02	4.47	5.57	5.61	3.64	2.86	4.29	
9.67	25.28	44.70	38.96	27.67	7.06	18.59	23.83	
25.30	13.54	46.03	78.12	64.42	44.66	26.84	48.82	
54.33	81.24	50.08	30.05	15.54	51.60	48.14	42.75	
33.35	34.31	55.49	62.19	73.43	46.16	36.84	83.15	

