5	10
10.76	8.88	17.41	9.60	9.39	
82.89	16.06	19.30	135.43	150.61	
95.02	137.42	38.92	123.75	125.93	
56.40	19.68	62.28	56.49	32.30	12.73	95.14	25.76	28.13	11.88	
4.43	4.38	4.99	7.91	2.98	4.35	2.98	6.06	5.29	8.88	
0.62	2.75	3.16	2.89	4.94	2.64	5.89	3.33	3.05	4.28	
4.90	3.74	4.18	8.23	4.81	3.75	1.10	5.29	4.54	8.58	
3.64	3.92	4.57	7.11	2.55	3.87	3.36	5.58	4.84	8.21	
1.95	1.55	1.67	3.47	6.10	1.48	5.27	1.62	1.45	3.55	
2.22	2.19	2.50	3.95	1.49	2.17	1.49	3.03	2.65	4.44	
0.31	1.37	1.58	1.44	2.47	1.32	2.94	1.66	1.52	2.14	
2.45	1.87	2.09	4.11	2.41	1.88	0.55	2.65	2.27	4.29	
1.82	1.96	2.29	3.55	1.28	1.93	1.68	2.79	2.42	4.10	
0.98	0.78	0.83	1.74	3.05	0.74	2.64	0.81	0.72	1.78	
24.93	23.01	44.17	47.56	26.78	33.42	22.03	55.76	50.57	55.20	
3.56	15.32	21.50	27.73	33.87	20.51	34.55	24.93	15.48	27.60	
47.89	21.58	34.96	63.50	29.57	23.44	7.55	29.56	37.81	81.46	
20.49	25.58	39.03	50.44	22.15	33.25	30.34	54.28	38.28	42.85	
11.01	8.73	9.13	30.89	31.66	10.10	50.66	13.95	8.56	23.22	
12.46	11.51	22.09	23.78	13.39	16.71	11.02	27.88	25.29	27.60	
1.78	7.66	10.75	13.87	16.93	10.26	17.27	12.46	7.74	13.80	
23.95	10.79	17.48	31.75	14.79	11.72	3.77	14.78	18.91	40.73	
10.24	12.79	19.52	25.22	11.07	16.62	15.17	27.14	19.14	21.43	
5.50	4.37	4.57	15.45	15.83	5.05	25.33	6.97	4.28	11.61	

