4	8
10.40	13.01	9.47	11.37	
139.59	105.95	89.64	35.19	
95.53	66.25	129.15	82.06	
18.84	53.69	13.57	61.27	54.21	14.65	46.71	23.97	
1.07	1.64	7.50	3.97	6.84	3.68	5.74	3.80	
7.45	8.43	7.97	3.09	6.16	9.20	1.41	9.57	
1.61	0.88	7.34	5.96	7.31	1.86	7.98	1.73	
6.64	7.66	5.39	2.77	3.55	7.71	3.15	8.14	
0.54	0.82	3.75	1.99	3.42	1.84	2.87	1.90	
3.73	4.21	3.98	1.55	3.08	4.60	0.70	4.79	
0.81	0.44	3.67	2.98	3.65	0.93	3.99	0.86	
3.32	3.83	2.69	1.39	1.78	3.85	1.58	4.07	
6.90	9.15	62.72	36.70	67.56	18.92	34.64	34.65	
73.08	62.12	71.74	25.60	48.92	71.19	10.07	51.84	
14.35	5.25	42.53	56.38	37.41	15.45	47.29	13.90	
37.32	51.89	36.10	14.46	22.03	61.88	27.07	50.27	
3.45	4.58	31.36	18.35	33.78	9.46	17.32	17.32	
36.54	31.06	35.87	12.80	24.46	35.59	5.04	25.92	
7.17	2.62	21.27	28.19	18.70	7.72	23.64	6.95	
18.66	25.95	18.05	7.23	11.02	30.94	13.54	25.14	

