6	12
99.45	125.41	97.99	43.58	78.08	86.29	
9.25	17.71	11.03	17.06	12.45	19.01	
141.21	32.43	85.73	38.33	71.84	30.38	
47.61	46.62	39.89	26.71	0.79	45.84	14.31	46.42	22.58	0.80	14.62	27.06	
4.72	10.28	8.51	0.62	7.79	4.79	5.04	3.53	8.84	1.08	4.20	5.39	
7.17	8.47	8.22	4.22	3.93	5.11	2.77	1.63	8.18	4.99	2.81	1.43	
6.28	6.04	5.90	5.43	3.53	3.41	0.32	4.04	5.78	5.65	1.11	2.37	
4.47	4.50	1.22	7.99	8.15	2.62	4.95	8.66	1.83	7.26	4.62	7.63	
4.07	11.11	8.84	1.71	9.36	5.27	6.33	5.17	9.29	0.66	5.39	7.01	
8.33	7.74	8.24	5.94	2.22	5.75	2.72	3.08	8.04	6.63	3.32	0.30	
2.36	5.14	4.25	0.31	3.90	2.39	2.52	1.76	4.42	0.54	2.10	2.69	
3.59	4.24	4.11	2.11	1.97	2.56	1.38	0.81	4.09	2.49	1.40	0.72	
3.14	3.02	2.95	2.71	1.77	1.70	0.16	2.02	2.89	2.82	0.56	1.19	
2.23	2.25	0.61	3.99	4.07	1.31	2.48	4.33	0.92	3.63	2.31	3.82	
2.03	5.56	4.42	0.86	4.68	2.64	3.17	2.58	4.65	0.33	2.70	3.50	
4.16	3.87	4.12	2.97	1.11	2.88	1.36	1.54	4.02	3.32	1.66	0.15	
44.65	62.34	75.27	5.81	56.98	39.83	40.62	31.90	72.26	10.67	41.49	45.75	
57.14	67.41	60.49	32.35	21.75	37.99	23.12	15.47	49.52	43.37	22.84	8.30	
36.69	41.81	39.24	35.08	29.58	18.37	1.65	38.58	53.80	41.31	5.70	12.40	
35.19	40.71	7.25	69.00	73.48	20.62	34.95	49.91	17.13	69.08	45.88	42.77	
35.36	99.52	80.70	9.91	93.20	48.62	41.78	45.75	55.20	5.77	39.31	45.31	
66.58	73.52	59.17	41.83	22.07	32.17	25.67	24.48	79.92	43.38	18.65	1.79	

