6	12
124.07	4.00	162.07	113.36	139.63	101.63	
12.08	12.42	25.25	8.74	12.80	15.08	
70.98	77.29	18.12	136.83	62.41	44.47	
9.24	15.82	16.77	37.98	46.02	22.33	29.02	5.85	32.08	26.77	33.42	40.15	
3.25	7.41	7.92	6.36	1.06	3.40	4.26	7.15	5.55	0.95	3.95	2.51	
4.39	3.49	3.11	6.09	5.64	1.75	1.65	2.94	4.13	4.65	6.84	6.89	
10.79	5.47	8.88	2.31	8.43	8.47	6.17	6.07	3.60	7.72	6.20	11.06	
6.01	5.87	7.78	3.17	2.94	4.58	3.47	5.92	3.00	2.32	1.95	5.59	
4.96	3.98	1.88	7.59	7.13	2.85	3.28	3.31	5.57	6.19	8.52	8.01	
2.05	5.87	5.48	6.79	3.68	0.86	2.93	5.41	5.25	2.94	5.91	4.36	
1.62	3.71	3.96	3.18	0.53	1.70	2.13	3.58	2.78	0.47	1.97	1.26	
2.19	1.74	1.55	3.04	2.82	0.87	0.82	1.47	2.06	2.32	3.42	3.45	
5.40	2.74	4.44	1.16	4.21	4.24	3.09	3.03	1.80	3.86	3.10	5.53	
3.00	2.94	3.89	1.59	1.47	2.29	1.73	2.96	1.50	1.16	0.97	2.79	
2.48	1.99	0.94	3.79	3.56	1.42	1.64	1.65	2.79	3.09	4.26	4.00	
1.03	2.93	2.74	3.40	1.84	0.43	1.46	2.71	2.62	1.47	2.95	2.18	
19.86	62.39	53.38	56.65	10.26	29.81	31.94	51.71	51.83	9.29	31.78	18.06	
23.91	19.00	28.14	33.96	51.97	12.98	13.17	18.30	33.87	45.14	48.43	61.79	
76.29	48.01	48.55	15.46	45.23	62.84	50.48	38.87	26.51	43.46	38.59	64.24	
58.61	52.70	57.63	18.92	24.83	40.50	20.62	41.65	24.43	14.17	13.74	43.89	
48.70	21.92	9.57	49.79	46.98	14.37	19.18	23.94	31.51	58.19	71.92	68.25	
11.81	38.47	28.03	41.03	24.55	4.69	21.97	50.49	49.23	27.84	49.54	40.45	

