5	10
8.04	20.53	8.52	8.68	12.30	
157.59	71.35	99.92	73.04	98.78	
155.88	25.83	148.77	150.27	77.30	
59.39	88.77	63.87	67.52	2.50	83.12	18.46	37.44	16.19	70.06	
7.52	4.79	3.81	3.74	5.57	2.37	6.30	2.59	3.37	5.55	
9.88	2.68	1.59	0.86	6.70	1.63	5.96	5.45	3.66	7.23	
11.13	5.05	4.02	2.79	8.72	1.31	8.38	5.53	5.85	8.98	
10.21	6.15	5.05	4.10	8.56	1.85	8.86	4.17	6.05	8.54	
5.72	6.42	5.57	5.75	5.03	4.39	6.77	1.21	4.05	4.50	
3.76	2.40	1.90	1.87	2.79	1.19	3.15	1.29	1.69	2.78	
4.94	1.34	0.80	0.43	3.35	0.81	2.98	2.73	1.83	3.62	
5.56	2.52	2.01	1.39	4.36	0.65	4.19	2.77	2.93	4.49	
5.10	3.07	2.52	2.05	4.28	0.93	4.43	2.09	3.03	4.27	
2.86	3.21	2.79	2.87	2.52	2.20	3.38	0.61	2.02	2.25	
41.94	24.52	19.03	33.43	45.06	21.95	61.56	18.13	18.16	50.53	
70.85	20.50	12.14	6.10	37.11	12.46	50.67	36.29	35.04	58.41	
100.65	49.52	21.38	22.65	80.06	6.77	68.94	30.31	54.59	73.63	
66.03	35.84	39.48	36.46	67.20	12.00	69.67	32.22	41.62	79.37	
46.56	34.69	42.57	42.36	43.47	23.31	66.90	7.56	36.43	31.29	
20.97	12.26	9.52	16.71	22.53	10.97	30.78	9.06	9.08	25.27	
35.42	10.25	6.07	3.05	18.55	6.23	25.34	18.14	17.52	29.20	
50.33	24.76	10.69	11.32	40.03	3.38	34.47	15.15	27.30	36.81	
33.02	17.92	19.74	18.23	33.60	6.00	34.84	16.11	20.81	39.69	
23.28	17.34	21.29	21.18	21.73	11.65	33.45	3.78	18.21	15.64	

