4	8
11.38	8.13	10.95	13.01	
163.65	68.74	17.44	113.23	
84.94	151.85	90.90	68.27	
67.92	18.98	31.91	24.24	60.67	59.20	69.19	27.85	
7.66	6.86	9.62	4.13	10.14	7.66	7.89	4.98	
9.93	9.71	9.32	4.17	8.20	3.48	3.18	4.80	
1.02	1.72	3.32	7.46	5.32	7.91	8.35	6.27	
6.64	5.95	8.14	2.28	8.44	5.80	6.04	3.14	
3.83	3.43	4.81	2.06	5.07	3.83	3.95	2.49	
4.97	4.85	4.66	2.08	4.10	1.74	1.59	2.40	
0.51	0.86	1.66	3.73	2.66	3.95	4.18	3.13	
3.32	2.97	4.07	1.14	4.22	2.90	3.02	1.57	
74.10	61.82	75.45	38.68	59.99	44.20	61.46	33.80	
84.34	59.95	49.15	21.37	46.97	28.84	17.25	46.83	
9.36	10.95	17.38	62.15	33.48	63.05	62.03	50.24	
44.47	58.92	79.20	22.10	55.21	52.03	59.19	31.03	
37.05	30.91	37.73	19.34	30.00	22.10	30.73	16.90	
42.17	29.98	24.57	10.69	23.48	14.42	8.62	23.41	
4.68	5.47	8.69	31.07	16.74	31.52	31.02	25.12	
22.23	29.46	39.60	11.05	27.61	26.02	29.59	15.52	

