4	8
8.23	8.72	17.19	10.34	
95.50	175.94	30.84	18.80	
158.77	149.86	40.27	106.37	
89.24	2.25	65.07	46.13	60.04	51.25	18.03	18.20	
6.58	6.85	5.96	7.86	3.37	6.64	3.32	5.00	
3.07	4.24	8.15	3.20	6.55	7.81	5.59	3.20	
3.29	3.49	5.64	3.90	3.23	5.70	2.76	1.26	
5.45	0.54	4.45	1.44	3.73	4.02	5.73	3.88	
3.29	3.43	2.98	3.93	1.69	3.32	1.66	2.50	
1.53	2.12	4.08	1.60	3.28	3.91	2.80	1.60	
1.64	1.75	2.82	1.95	1.62	2.85	1.38	0.63	
2.73	0.27	2.22	0.72	1.87	2.01	2.86	1.94	
37.40	65.25	36.45	67.80	29.58	45.03	27.05	43.65	
27.42	30.54	50.53	23.91	52.15	74.05	30.86	18.45	
17.94	27.46	40.80	29.40	19.77	47.56	19.63	10.80	
36.60	3.32	33.93	12.59	24.95	22.72	31.17	36.65	
18.70	32.62	18.23	33.90	14.79	22.52	13.53	21.82	
13.71	15.27	25.27	11.96	26.07	37.02	15.43	9.22	
8.97	13.73	20.40	14.70	9.88	23.78	9.81	5.40	
18.30	1.66	16.96	6.29	12.47	11.36	15.59	18.32	

