5	10
170.90	145.28	65.00	84.80	50.86	
13.84	12.67	11.06	10.63	8.33	
63.01	67.86	98.56	90.47	148.01	
79.51	21.15	3.39	78.54	17.79	20.43	18.40	59.07	9.43	52.24	
7.52	4.39	7.35	7.60	4.76	9.13	5.36	3.30	4.40	4.09	
4.04	7.28	1.67	7.16	5.09	8.14	8.68	8.93	2.69	2.58	
7.87	3.60	3.91	10.11	1.10	11.40	9.86	8.51	1.84	4.55	
0.50	9.80	5.27	3.71	8.14	4.44	6.73	8.44	5.66	3.32	
5.70	4.83	5.23	6.70	3.97	8.15	5.92	5.07	2.56	1.98	
3.76	2.20	3.68	3.80	2.38	4.56	2.68	1.65	2.20	2.04	
2.02	3.64	0.84	3.58	2.54	4.07	4.34	4.47	1.35	1.29	
3.93	1.80	1.95	5.05	0.55	5.70	4.93	4.26	0.92	2.27	
0.25	4.90	2.63	1.86	4.07	2.22	3.36	4.22	2.83	1.66	
2.85	2.41	2.61	3.35	1.99	4.08	2.96	2.54	1.28	0.99	
58.70	36.92	54.11	39.57	42.43	45.73	38.95	30.90	42.05	21.62	
27.92	72.68	14.56	48.57	33.96	48.20	70.40	77.41	19.65	14.06	
74.41	27.88	22.71	59.38	5.97	95.02	92.32	63.91	9.73	35.59	
2.72	49.31	40.75	35.12	73.26	26.24	45.23	54.28	49.25	27.84	
48.92	25.18	28.57	55.87	31.24	77.95	41.08	48.12	23.29	16.78	

