5	10
152.53	10.08	159.33	156.46	162.37	
30.92	18.33	9.58	11.99	9.95	
11.52	32.39	121.08	78.79	111.95	
32.86	31.41	22.59	20.31	16.88	17.31	25.88	24.08	52.34	52.79	
6.73	3.25	2.22	3.08	3.07	1.93	3.53	3.93	7.08	0.55	
7.31	3.34	5.01	3.35	4.91	6.25	9.51	6.74	1.64	6.50	
8.65	4.74	4.07	3.70	2.62	3.82	2.63	5.82	8.25	1.40	
8.11	3.07	4.38	1.55	2.58	5.42	7.59	6.60	4.01	4.80	
0.74	4.45	4.14	6.55	8.08	4.48	9.20	2.72	5.91	6.79	
3.37	1.63	1.11	1.54	1.54	0.96	1.76	1.96	3.54	0.27	
3.66	1.67	2.51	1.68	2.46	3.13	4.76	3.37	0.82	3.25	
4.33	2.37	2.04	1.85	1.31	1.91	1.32	2.91	4.13	0.70	
4.06	1.53	2.19	0.77	1.29	2.71	3.79	3.30	2.00	2.40	
0.37	2.22	2.07	3.27	4.04	2.24	4.60	1.36	2.95	3.39	
58.99	18.70	18.94	29.16	22.76	9.82	31.24	34.59	61.61	2.99	
59.43	19.57	35.52	29.05	34.52	38.16	90.21	63.34	10.28	55.02	
56.81	43.43	40.03	36.65	24.71	33.20	24.31	31.07	79.14	12.81	
66.15	23.52	24.85	14.70	15.61	32.62	47.58	62.17	35.58	24.04	
4.93	35.42	31.74	62.99	56.27	43.60	60.13	21.50	43.50	61.88	

